Ticker,AUR,AUR,AUR,AUR,AUR,AUR,SFM,SFM,SFM,SFM,SFM,SFM,INSM,INSM,INSM,INSM,INSM,INSM,SMMT,SMMT,SMMT,SMMT,SMMT,SMMT,PRMB,PRMB,PRMB,PRMB,PRMB,PRMB
Price,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-20,5.360000133514404,5.4029998779296875,5.190000057220459,5.21999979019165,5.21999979019165,27856200,163.74000549316406,167.1199951171875,162.60000610351562,165.9600067138672,165.9600067138672,4442100,100.2699966430664,102.80999755859375,99.0199966430664,102.68000030517578,102.68000030517578,4668600,20.15999984741211,20.639999389648438,19.700000762939453,20.559999465942383,20.559999465942383,3002800,30.149999618530273,30.459999084472656,29.719999313354492,30.309999465942383,29.674819946289062,6813200
2025-06-23,5.159999847412109,5.550000190734863,5.090000152587891,5.420000076293945,5.420000076293945,27311600,166.5,173.52999877929688,166.0,173.2899932861328,173.2899932861328,1899300,102.12999725341797,105.4800033569336,101.04000091552734,105.41999816894531,105.41999816894531,3504900,20.489999771118164,20.600000381469727,19.479999542236328,20.389999389648438,20.389999389648438,2765500,29.549999237060547,30.18000030517578,29.420000076293945,30.079999923706055,29.44963836669922,6785200
2025-06-24,5.539999961853027,5.630000114440918,5.425000190734863,5.449999809265137,5.449999809265137,31411200,173.2899932861328,173.9600067138672,164.83999633789062,166.47000122070312,166.47000122070312,2121800,105.5,106.58000183105469,104.18000030517578,105.9000015258789,105.9000015258789,4432600,20.739999771118164,21.81999969482422,20.43000030517578,20.920000076293945,20.920000076293945,3604400,30.030000686645508,30.1200008392334,29.190000534057617,29.6299991607666,29.009069442749023,8612100
2025-06-25,5.485000133514404,5.485000133514404,5.230000019073486,5.289999961853027,5.289999961853027,14295900,167.0,167.3000030517578,163.19000244140625,164.6199951171875,164.6199951171875,1423600,105.25,106.83000183105469,104.05999755859375,104.8499984741211,104.8499984741211,3530900,20.959999084472656,21.459999084472656,20.339000701904297,21.270000457763672,21.270000457763672,2067700,29.6299991607666,29.6299991607666,28.84000015258789,29.1299991607666,28.519546508789062,6172800
2025-06-26,5.315000057220459,5.420000076293945,5.214000225067139,5.400000095367432,5.400000095367432,16578100,164.75,165.5,159.3699951171875,160.44000244140625,160.44000244140625,1720500,105.69999694824219,105.80000305175781,101.13999938964844,101.73999786376953,101.73999786376953,3957100,21.239999771118164,21.649999618530273,21.010000228881836,21.31999969482422,21.31999969482422,1398700,29.170000076293945,29.6200008392334,28.979999542236328,29.079999923706055,28.470596313476562,8453300
2025-06-27,5.400000095367432,5.480000019073486,5.139999866485596,5.170000076293945,5.170000076293945,162271800,159.69000244140625,164.8800048828125,153.35000610351562,162.1300048828125,162.1300048828125,16930800,101.66999816894531,102.25,98.8499984741211,99.48999786376953,99.48999786376953,34487800,21.25,21.350000381469727,20.270000457763672,20.600000381469727,20.600000381469727,14090900,29.010000228881836,29.579999923706055,28.829999923706055,29.350000381469727,28.73493766784668,43573200
2025-06-30,5.300000190734863,5.409999847412109,5.159999847412109,5.239999771118164,5.239999771118164,25490700,162.25,165.36000061035156,161.69000244140625,164.63999938964844,164.63999938964844,2200700,100.05000305175781,101.63999938964844,99.77999877929688,100.63999938964844,100.63999938964844,4254100,20.790000915527344,21.309999465942383,20.325000762939453,21.280000686645508,21.280000686645508,2152200,29.100000381469727,29.700000762939453,28.989999771118164,29.6200008392334,28.999279022216797,7572100
